final_success,hard_stage,request,request_index,stage_ready_count,targets,total_generation_ms,variant
True,0,Open a economy trip ticket to Austin for 2027-04-22.,3,3,"{""airport"": ""AUS"", ""city"": ""Austin"", ""date"": ""2027-04-22"", ""dispatch"": ""AUS-20270422-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",4558.18471708335,all_high
False,0,Open a economy trip ticket to Austin for 2027-04-22.,3,2,"{""airport"": ""AUS"", ""city"": ""Austin"", ""date"": ""2027-04-22"", ""dispatch"": ""AUS-20270422-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",1578.343244153075,all_low
True,0,Open a economy trip ticket to Austin for 2027-04-22.,3,3,"{""airport"": ""AUS"", ""city"": ""Austin"", ""date"": ""2027-04-22"", ""dispatch"": ""AUS-20270422-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3583.9946089545265,low_stage_0
True,0,Open a economy trip ticket to Austin for 2027-04-22.,3,3,"{""airport"": ""AUS"", ""city"": ""Austin"", ""date"": ""2027-04-22"", ""dispatch"": ""AUS-20270422-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3542.1503748511896,low_stage_1
False,0,Open a economy trip ticket to Austin for 2027-04-22.,3,2,"{""airport"": ""AUS"", ""city"": ""Austin"", ""date"": ""2027-04-22"", ""dispatch"": ""AUS-20270422-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3584.2127630021423,low_stage_2
True,1,Create a economy travel dispatch for London on 2026-09-05.,4,3,"{""airport"": ""LHR"", ""city"": ""London"", ""date"": ""2026-09-05"", ""dispatch"": ""LHR-20260905-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",4571.3347950950265,all_high
True,1,Create a economy travel dispatch for London on 2026-09-05.,4,3,"{""airport"": ""LHR"", ""city"": ""London"", ""date"": ""2026-09-05"", ""dispatch"": ""LHR-20260905-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",1582.9080460825935,all_low
True,1,Create a economy travel dispatch for London on 2026-09-05.,4,3,"{""airport"": ""LHR"", ""city"": ""London"", ""date"": ""2026-09-05"", ""dispatch"": ""LHR-20260905-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3594.004856888205,low_stage_0
True,1,Create a economy travel dispatch for London on 2026-09-05.,4,3,"{""airport"": ""LHR"", ""city"": ""London"", ""date"": ""2026-09-05"", ""dispatch"": ""LHR-20260905-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3546.6972509166226,low_stage_1
True,1,Create a economy travel dispatch for London on 2026-09-05.,4,3,"{""airport"": ""LHR"", ""city"": ""London"", ""date"": ""2026-09-05"", ""dispatch"": ""LHR-20260905-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3588.2602558704093,low_stage_2
True,2,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,3,"{""airport"": ""AMS"", ""city"": ""Amsterdam"", ""date"": ""2027-02-12"", ""dispatch"": ""AMS-20270212-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",4574.765773955733,all_high
True,2,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,3,"{""airport"": ""AMS"", ""city"": ""Amsterdam"", ""date"": ""2027-02-12"", ""dispatch"": ""AMS-20270212-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",1585.1543688913807,all_low
True,2,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,3,"{""airport"": ""AMS"", ""city"": ""Amsterdam"", ""date"": ""2027-02-12"", ""dispatch"": ""AMS-20270212-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3597.8275570087135,low_stage_0
True,2,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,3,"{""airport"": ""AMS"", ""city"": ""Amsterdam"", ""date"": ""2027-02-12"", ""dispatch"": ""AMS-20270212-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3558.919318020344,low_stage_1
True,2,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,3,"{""airport"": ""AMS"", ""city"": ""Amsterdam"", ""date"": ""2027-02-12"", ""dispatch"": ""AMS-20270212-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3597.830733982846,low_stage_2
True,0,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,3,"{""airport"": ""MAD"", ""city"": ""Madrid"", ""date"": ""2026-07-19"", ""dispatch"": ""MAD-20260719-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",4576.473989873193,all_high
True,0,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,3,"{""airport"": ""MAD"", ""city"": ""Madrid"", ""date"": ""2026-07-19"", ""dispatch"": ""MAD-20260719-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",1585.1246030069888,all_low
True,0,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,3,"{""airport"": ""MAD"", ""city"": ""Madrid"", ""date"": ""2026-07-19"", ""dispatch"": ""MAD-20260719-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",3598.3729669824243,low_stage_0
True,0,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,3,"{""airport"": ""MAD"", ""city"": ""Madrid"", ""date"": ""2026-07-19"", ""dispatch"": ""MAD-20260719-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",3551.0952189797536,low_stage_1
True,0,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,3,"{""airport"": ""MAD"", ""city"": ""Madrid"", ""date"": ""2026-07-19"", ""dispatch"": ""MAD-20260719-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",3592.855656053871,low_stage_2
False,1,Open a standard trip ticket to Rome for 2027-12-02.,7,2,"{""airport"": ""FCO"", ""city"": ""Rome"", ""date"": ""2027-12-02"", ""dispatch"": ""FCO-20271202-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",4577.160086017102,all_high
False,1,Open a standard trip ticket to Rome for 2027-12-02.,7,2,"{""airport"": ""FCO"", ""city"": ""Rome"", ""date"": ""2027-12-02"", ""dispatch"": ""FCO-20271202-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",1585.944821825251,all_low
False,1,Open a standard trip ticket to Rome for 2027-12-02.,7,2,"{""airport"": ""FCO"", ""city"": ""Rome"", ""date"": ""2027-12-02"", ""dispatch"": ""FCO-20271202-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3602.8163708979264,low_stage_0
False,1,Open a standard trip ticket to Rome for 2027-12-02.,7,2,"{""airport"": ""FCO"", ""city"": ""Rome"", ""date"": ""2027-12-02"", ""dispatch"": ""FCO-20271202-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3554.1412321617827,low_stage_1
False,1,Open a standard trip ticket to Rome for 2027-12-02.,7,2,"{""airport"": ""FCO"", ""city"": ""Rome"", ""date"": ""2027-12-02"", ""dispatch"": ""FCO-20271202-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3593.5656691435724,low_stage_2
True,2,Create a standard travel dispatch for Berlin on 2026-05-09.,8,3,"{""airport"": ""BER"", ""city"": ""Berlin"", ""date"": ""2026-05-09"", ""dispatch"": ""BER-20260509-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",4579.103346914053,all_high
True,2,Create a standard travel dispatch for Berlin on 2026-05-09.,8,3,"{""airport"": ""BER"", ""city"": ""Berlin"", ""date"": ""2026-05-09"", ""dispatch"": ""BER-20260509-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",1586.5269829519093,all_low
True,2,Create a standard travel dispatch for Berlin on 2026-05-09.,8,3,"{""airport"": ""BER"", ""city"": ""Berlin"", ""date"": ""2026-05-09"", ""dispatch"": ""BER-20260509-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3601.3680360047147,low_stage_0
True,2,Create a standard travel dispatch for Berlin on 2026-05-09.,8,3,"{""airport"": ""BER"", ""city"": ""Berlin"", ""date"": ""2026-05-09"", ""dispatch"": ""BER-20260509-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3553.1376869184896,low_stage_1
True,2,Create a standard travel dispatch for Berlin on 2026-05-09.,8,3,"{""airport"": ""BER"", ""city"": ""Berlin"", ""date"": ""2026-05-09"", ""dispatch"": ""BER-20260509-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3598.9348490256816,low_stage_2
False,0,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,2,"{""airport"": ""DXB"", ""city"": ""Dubai"", ""date"": ""2027-10-16"", ""dispatch"": ""DXB-20271016-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",4579.7195109771565,all_high
False,0,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,2,"{""airport"": ""DXB"", ""city"": ""Dubai"", ""date"": ""2027-10-16"", ""dispatch"": ""DXB-20271016-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",1588.8888218905777,all_low
False,0,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,2,"{""airport"": ""DXB"", ""city"": ""Dubai"", ""date"": ""2027-10-16"", ""dispatch"": ""DXB-20271016-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",3605.6470670737326,low_stage_0
False,0,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,2,"{""airport"": ""DXB"", ""city"": ""Dubai"", ""date"": ""2027-10-16"", ""dispatch"": ""DXB-20271016-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",3555.1385559374467,low_stage_1
False,0,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,2,"{""airport"": ""DXB"", ""city"": ""Dubai"", ""date"": ""2027-10-16"", ""dispatch"": ""DXB-20271016-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",3598.51420391351,low_stage_2
True,1,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,3,"{""airport"": ""BOS"", ""city"": ""Boston"", ""date"": ""2026-03-23"", ""dispatch"": ""BOS-20260323-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",4582.195858005434,all_high
True,1,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,3,"{""airport"": ""BOS"", ""city"": ""Boston"", ""date"": ""2026-03-23"", ""dispatch"": ""BOS-20260323-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",1586.4171950379387,all_low
True,1,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,3,"{""airport"": ""BOS"", ""city"": ""Boston"", ""date"": ""2026-03-23"", ""dispatch"": ""BOS-20260323-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",3599.2570869857445,low_stage_0
True,1,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,3,"{""airport"": ""BOS"", ""city"": ""Boston"", ""date"": ""2026-03-23"", ""dispatch"": ""BOS-20260323-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",3553.5148489288986,low_stage_1
True,1,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,3,"{""airport"": ""BOS"", ""city"": ""Boston"", ""date"": ""2026-03-23"", ""dispatch"": ""BOS-20260323-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",3593.5551278525963,low_stage_2
True,2,Open a standard trip ticket to Toronto for 2027-08-06.,11,3,"{""airport"": ""YYZ"", ""city"": ""Toronto"", ""date"": ""2027-08-06"", ""dispatch"": ""YYZ-20270806-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",4580.152729991823,all_high
True,2,Open a standard trip ticket to Toronto for 2027-08-06.,11,3,"{""airport"": ""YYZ"", ""city"": ""Toronto"", ""date"": ""2027-08-06"", ""dispatch"": ""YYZ-20270806-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",1586.6537299007177,all_low
True,2,Open a standard trip ticket to Toronto for 2027-08-06.,11,3,"{""airport"": ""YYZ"", ""city"": ""Toronto"", ""date"": ""2027-08-06"", ""dispatch"": ""YYZ-20270806-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3602.005969034508,low_stage_0
True,2,Open a standard trip ticket to Toronto for 2027-08-06.,11,3,"{""airport"": ""YYZ"", ""city"": ""Toronto"", ""date"": ""2027-08-06"", ""dispatch"": ""YYZ-20270806-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3553.034422104247,low_stage_1
True,2,Open a standard trip ticket to Toronto for 2027-08-06.,11,3,"{""airport"": ""YYZ"", ""city"": ""Toronto"", ""date"": ""2027-08-06"", ""dispatch"": ""YYZ-20270806-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3594.6710652206093,low_stage_2
True,0,Create a economy travel dispatch for Seoul on 2026-01-13.,12,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-13"", ""dispatch"": ""ICN-20260113-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",4580.723004997708,all_high
True,0,Create a economy travel dispatch for Seoul on 2026-01-13.,12,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-13"", ""dispatch"": ""ICN-20260113-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",1587.5037860823795,all_low
True,0,Create a economy travel dispatch for Seoul on 2026-01-13.,12,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-13"", ""dispatch"": ""ICN-20260113-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3601.3679339084774,low_stage_0
True,0,Create a economy travel dispatch for Seoul on 2026-01-13.,12,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-13"", ""dispatch"": ""ICN-20260113-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3554.849280975759,low_stage_1
True,0,Create a economy travel dispatch for Seoul on 2026-01-13.,12,3,"{""airport"": ""ICN"", ""city"": ""Seoul"", ""date"": ""2026-01-13"", ""dispatch"": ""ICN-20260113-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3599.22837279737,low_stage_2
True,1,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,3,"{""airport"": ""NRT"", ""city"": ""Tokyo"", ""date"": ""2027-06-20"", ""dispatch"": ""NRT-20270620-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",4581.121379043907,all_high
False,1,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,2,"{""airport"": ""NRT"", ""city"": ""Tokyo"", ""date"": ""2027-06-20"", ""dispatch"": ""NRT-20270620-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",1592.1403038082644,all_low
True,1,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,3,"{""airport"": ""NRT"", ""city"": ""Tokyo"", ""date"": ""2027-06-20"", ""dispatch"": ""NRT-20270620-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3601.9301461055875,low_stage_0
True,1,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,3,"{""airport"": ""NRT"", ""city"": ""Tokyo"", ""date"": ""2027-06-20"", ""dispatch"": ""NRT-20270620-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3557.9751449404284,low_stage_1
False,1,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,2,"{""airport"": ""NRT"", ""city"": ""Tokyo"", ""date"": ""2027-06-20"", ""dispatch"": ""NRT-20270620-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3597.260967013426,low_stage_2
True,2,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,3,"{""airport"": ""CDG"", ""city"": ""Paris"", ""date"": ""2026-11-03"", ""dispatch"": ""CDG-20261103-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",4576.699124998413,all_high
True,2,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,3,"{""airport"": ""CDG"", ""city"": ""Paris"", ""date"": ""2026-11-03"", ""dispatch"": ""CDG-20261103-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",1586.5736589767039,all_low
True,2,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,3,"{""airport"": ""CDG"", ""city"": ""Paris"", ""date"": ""2026-11-03"", ""dispatch"": ""CDG-20261103-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3599.1815350716934,low_stage_0
True,2,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,3,"{""airport"": ""CDG"", ""city"": ""Paris"", ""date"": ""2026-11-03"", ""dispatch"": ""CDG-20261103-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3556.334947119467,low_stage_1
True,2,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,3,"{""airport"": ""CDG"", ""city"": ""Paris"", ""date"": ""2026-11-03"", ""dispatch"": ""CDG-20261103-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3594.2285291384906,low_stage_2
True,0,Open a standard trip ticket to Austin for 2027-04-10.,15,3,"{""airport"": ""AUS"", ""city"": ""Austin"", ""date"": ""2027-04-10"", ""dispatch"": ""AUS-20270410-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",4579.161426983774,all_high
True,0,Open a standard trip ticket to Austin for 2027-04-10.,15,3,"{""airport"": ""AUS"", ""city"": ""Austin"", ""date"": ""2027-04-10"", ""dispatch"": ""AUS-20270410-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",1589.86894285772,all_low
True,0,Open a standard trip ticket to Austin for 2027-04-10.,15,3,"{""airport"": ""AUS"", ""city"": ""Austin"", ""date"": ""2027-04-10"", ""dispatch"": ""AUS-20270410-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3599.965635105036,low_stage_0
True,0,Open a standard trip ticket to Austin for 2027-04-10.,15,3,"{""airport"": ""AUS"", ""city"": ""Austin"", ""date"": ""2027-04-10"", ""dispatch"": ""AUS-20270410-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3552.697175065987,low_stage_1
True,0,Open a standard trip ticket to Austin for 2027-04-10.,15,3,"{""airport"": ""AUS"", ""city"": ""Austin"", ""date"": ""2027-04-10"", ""dispatch"": ""AUS-20270410-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3594.0575670683756,low_stage_2
True,1,Create a standard travel dispatch for London on 2026-09-17.,16,3,"{""airport"": ""LHR"", ""city"": ""London"", ""date"": ""2026-09-17"", ""dispatch"": ""LHR-20260917-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",4577.729371958412,all_high
True,1,Create a standard travel dispatch for London on 2026-09-17.,16,3,"{""airport"": ""LHR"", ""city"": ""London"", ""date"": ""2026-09-17"", ""dispatch"": ""LHR-20260917-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",1586.689448915422,all_low
True,1,Create a standard travel dispatch for London on 2026-09-17.,16,3,"{""airport"": ""LHR"", ""city"": ""London"", ""date"": ""2026-09-17"", ""dispatch"": ""LHR-20260917-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3599.4673740351573,low_stage_0
True,1,Create a standard travel dispatch for London on 2026-09-17.,16,3,"{""airport"": ""LHR"", ""city"": ""London"", ""date"": ""2026-09-17"", ""dispatch"": ""LHR-20260917-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3553.7306769983843,low_stage_1
True,1,Create a standard travel dispatch for London on 2026-09-17.,16,3,"{""airport"": ""LHR"", ""city"": ""London"", ""date"": ""2026-09-17"", ""dispatch"": ""LHR-20260917-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3593.6353500001132,low_stage_2
True,2,Set up economy routing for the Amsterdam visit dated 2027-02-24.,17,3,"{""airport"": ""AMS"", ""city"": ""Amsterdam"", ""date"": ""2027-02-24"", ""dispatch"": ""AMS-20270224-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",4578.796948888339,all_high
True,2,Set up economy routing for the Amsterdam visit dated 2027-02-24.,17,3,"{""airport"": ""AMS"", ""city"": ""Amsterdam"", ""date"": ""2027-02-24"", ""dispatch"": ""AMS-20270224-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",1586.4625588292256,all_low
True,2,Set up economy routing for the Amsterdam visit dated 2027-02-24.,17,3,"{""airport"": ""AMS"", ""city"": ""Amsterdam"", ""date"": ""2027-02-24"", ""dispatch"": ""AMS-20270224-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3600.698509835638,low_stage_0
True,2,Set up economy routing for the Amsterdam visit dated 2027-02-24.,17,3,"{""airport"": ""AMS"", ""city"": ""Amsterdam"", ""date"": ""2027-02-24"", ""dispatch"": ""AMS-20270224-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3554.7959689283744,low_stage_1
True,2,Set up economy routing for the Amsterdam visit dated 2027-02-24.,17,3,"{""airport"": ""AMS"", ""city"": ""Amsterdam"", ""date"": ""2027-02-24"", ""dispatch"": ""AMS-20270224-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",3595.913482015021,low_stage_2
True,0,Prepare the 2026-07-07 Madrid itinerary with urgent handling.,18,3,"{""airport"": ""MAD"", ""city"": ""Madrid"", ""date"": ""2026-07-07"", ""dispatch"": ""MAD-20260707-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",4575.837388052605,all_high
True,0,Prepare the 2026-07-07 Madrid itinerary with urgent handling.,18,3,"{""airport"": ""MAD"", ""city"": ""Madrid"", ""date"": ""2026-07-07"", ""dispatch"": ""MAD-20260707-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",1586.2150429747999,all_low
True,0,Prepare the 2026-07-07 Madrid itinerary with urgent handling.,18,3,"{""airport"": ""MAD"", ""city"": ""Madrid"", ""date"": ""2026-07-07"", ""dispatch"": ""MAD-20260707-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",3599.0168339340016,low_stage_0
True,0,Prepare the 2026-07-07 Madrid itinerary with urgent handling.,18,3,"{""airport"": ""MAD"", ""city"": ""Madrid"", ""date"": ""2026-07-07"", ""dispatch"": ""MAD-20260707-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",3554.0128488792107,low_stage_1
True,0,Prepare the 2026-07-07 Madrid itinerary with urgent handling.,18,3,"{""airport"": ""MAD"", ""city"": ""Madrid"", ""date"": ""2026-07-07"", ""dispatch"": ""MAD-20260707-S1"", ""priority"": ""urgent"", ""sla"": ""S1""}",3591.506797936745,low_stage_2
True,1,Open a standard trip ticket to Rome for 2027-12-14.,19,3,"{""airport"": ""FCO"", ""city"": ""Rome"", ""date"": ""2027-12-14"", ""dispatch"": ""FCO-20271214-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",4579.863201943226,all_high
True,1,Open a standard trip ticket to Rome for 2027-12-14.,19,3,"{""airport"": ""FCO"", ""city"": ""Rome"", ""date"": ""2027-12-14"", ""dispatch"": ""FCO-20271214-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",1586.2847529351711,all_low
True,1,Open a standard trip ticket to Rome for 2027-12-14.,19,3,"{""airport"": ""FCO"", ""city"": ""Rome"", ""date"": ""2027-12-14"", ""dispatch"": ""FCO-20271214-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3599.0671190666035,low_stage_0
True,1,Open a standard trip ticket to Rome for 2027-12-14.,19,3,"{""airport"": ""FCO"", ""city"": ""Rome"", ""date"": ""2027-12-14"", ""dispatch"": ""FCO-20271214-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3552.041727118194,low_stage_1
True,1,Open a standard trip ticket to Rome for 2027-12-14.,19,3,"{""airport"": ""FCO"", ""city"": ""Rome"", ""date"": ""2027-12-14"", ""dispatch"": ""FCO-20271214-S2"", ""priority"": ""standard"", ""sla"": ""S2""}",3592.9403270129114,low_stage_2
True,2,Create a economy travel dispatch for Berlin on 2026-05-21.,20,3,"{""airport"": ""BER"", ""city"": ""Berlin"", ""date"": ""2026-05-21"", ""dispatch"": ""BER-20260521-S3"", ""priority"": ""economy"", ""sla"": ""S3""}",4577.118758112192,all_high
