field_correct,generation_ms,hard_stage,mode,observed,ready,ready_count,request,request_index,required_count,stage_index,steps,variant
"{'airport': True, 'sla': True, 'date': True}",562.596605042927,0,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,1,16,low_stage_1
{'dispatch': True},1483.126578037627,0,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,0,1,2,128,low_stage_1
"{'city': True, 'date': True, 'priority': True}",1451.5934380469844,0,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,0,128,low_stage_2
"{'airport': True, 'sla': True, 'date': True}",1577.4916959926486,0,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,1,128,low_stage_2
{'dispatch': True},511.7584429681301,0,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,0,1,2,16,low_stage_2
"{'city': True, 'date': True, 'priority': True}",1455.0082080531865,1,chained,"{""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,3,0,128,all_high
"{'airport': True, 'sla': True, 'date': True}",1579.6261170180514,1,chained,"{""airport"": ""NRT"", ""date"": ""2027-06-08"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,3,1,128,all_high
{'dispatch': True},1487.9812879953533,1,chained,"{""dispatch"": ""NRT-20270608-S2""}",True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,1,2,128,all_high
"{'city': True, 'date': True, 'priority': True}",487.7406369196251,1,chained,"{""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,3,0,16,all_low
"{'airport': True, 'sla': True, 'date': True}",564.3847029423341,1,chained,"{""airport"": ""NRT"", ""date"": ""2027-06-08"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,3,1,16,all_low
{'dispatch': True},513.4503879817203,1,chained,"{""dispatch"": ""NRT-20270608-S2""}",True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,1,2,16,all_low
"{'city': True, 'date': True, 'priority': True}",486.93066800478846,1,chained,"{""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,3,0,16,low_stage_0
"{'airport': True, 'sla': True, 'date': True}",1581.971287028864,1,chained,"{""airport"": ""NRT"", ""date"": ""2027-06-08"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,3,1,128,low_stage_0
{'dispatch': True},1489.285761024803,1,chained,"{""dispatch"": ""NRT-20270608-S2""}",True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,1,2,128,low_stage_0
"{'city': True, 'date': True, 'priority': True}",1459.06629296951,1,chained,"{""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,3,0,128,low_stage_1
"{'airport': True, 'sla': True, 'date': True}",566.6944549884647,1,chained,"{""airport"": ""NRT"", ""date"": ""2027-06-08"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,3,1,16,low_stage_1
{'dispatch': True},1495.955268968828,1,chained,"{""dispatch"": ""NRT-20270608-S2""}",True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,1,2,128,low_stage_1
"{'city': True, 'date': True, 'priority': True}",1459.7347849048674,1,chained,"{""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,3,0,128,low_stage_2
"{'airport': True, 'sla': True, 'date': True}",1585.7087660115212,1,chained,"{""airport"": ""NRT"", ""date"": ""2027-06-08"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,3,1,128,low_stage_2
{'dispatch': True},515.7529469579458,1,chained,"{""dispatch"": ""NRT-20270608-S2""}",True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,1,1,2,16,low_stage_2
"{'city': True, 'date': True, 'priority': True}",1459.5474619418383,2,chained,"{""city"": ""Paris"", ""date"": ""2026-11-15"", ""priority"": ""economy""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,3,0,128,all_high
"{'airport': True, 'sla': True, 'date': True}",1588.3510060375556,2,chained,"{""airport"": ""CDG"", ""date"": ""2026-11-15"", ""sla"": ""S3""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,3,1,128,all_high
{'dispatch': True},1496.2560369167477,2,chained,"{""dispatch"": ""CDG-20261115-S3""}",True,1,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,1,2,128,all_high
"{'city': True, 'date': True, 'priority': True}",492.6314860349521,2,chained,"{""city"": ""Paris"", ""date"": ""2026-11-15"", ""priority"": ""economy""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,3,0,16,all_low
"{'airport': True, 'sla': True, 'date': True}",569.3822229513898,2,chained,"{""airport"": ""CDG"", ""date"": ""2026-11-15"", ""sla"": ""S3""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,3,1,16,all_low
{'dispatch': True},515.4609950259328,2,chained,"{""dispatch"": ""CDG-20261115-S3""}",True,1,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,1,2,16,all_low
"{'city': True, 'date': True, 'priority': True}",488.57665702234954,2,chained,"{""city"": ""Paris"", ""date"": ""2026-11-15"", ""priority"": ""economy""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,3,0,16,low_stage_0
"{'airport': True, 'sla': True, 'date': True}",1590.8625699812546,2,chained,"{""airport"": ""CDG"", ""date"": ""2026-11-15"", ""sla"": ""S3""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,3,1,128,low_stage_0
{'dispatch': True},1496.9692749436945,2,chained,"{""dispatch"": ""CDG-20261115-S3""}",True,1,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,1,2,128,low_stage_0
"{'city': True, 'date': True, 'priority': True}",1464.1788100125268,2,chained,"{""city"": ""Paris"", ""date"": ""2026-11-15"", ""priority"": ""economy""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,3,0,128,low_stage_1
"{'airport': True, 'sla': True, 'date': True}",570.0209490023553,2,chained,"{""airport"": ""CDG"", ""date"": ""2026-11-15"", ""sla"": ""S3""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,3,1,16,low_stage_1
{'dispatch': True},1497.943153954111,2,chained,"{""dispatch"": ""CDG-20261115-S3""}",True,1,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,1,2,128,low_stage_1
"{'city': True, 'date': True, 'priority': True}",1463.2669570855796,2,chained,"{""city"": ""Paris"", ""date"": ""2026-11-15"", ""priority"": ""economy""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,3,0,128,low_stage_2
"{'airport': True, 'sla': True, 'date': True}",1591.9638900086284,2,chained,"{""airport"": ""CDG"", ""date"": ""2026-11-15"", ""sla"": ""S3""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,3,1,128,low_stage_2
{'dispatch': True},517.9333550622687,2,chained,"{""dispatch"": ""CDG-20261115-S3""}",True,1,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,1,2,16,low_stage_2
"{'city': True, 'date': True, 'priority': True}",1465.2261580340564,0,chained,"{""city"": ""Austin"", ""date"": ""2027-04-22"", ""priority"": ""economy""}",True,3,Open a economy trip ticket to Austin for 2027-04-22.,3,3,0,128,all_high
"{'airport': True, 'sla': True, 'date': True}",1593.9613340888172,0,chained,"{""airport"": ""AUS"", ""date"": ""2027-04-22"", ""sla"": ""S3""}",True,3,Open a economy trip ticket to Austin for 2027-04-22.,3,3,1,128,all_high
{'dispatch': True},1498.9972249604762,0,chained,"{""dispatch"": ""AUS-20270422-S3""}",True,1,Open a economy trip ticket to Austin for 2027-04-22.,3,1,2,128,all_high
"{'city': True, 'date': True, 'priority': True}",490.7130120554939,0,chained,"{""city"": ""Austin"", ""date"": ""2027-04-22"", ""priority"": ""economy""}",True,3,Open a economy trip ticket to Austin for 2027-04-22.,3,3,0,16,all_low
"{'airport': True, 'sla': True, 'date': True}",569.9277831008658,0,chained,"{""airport"": ""AUS"", ""date"": ""2027-04-22"", ""sla"": ""S3""}",True,3,Open a economy trip ticket to Austin for 2027-04-22.,3,3,1,16,all_low
{'dispatch': False},517.7024489967152,0,chained,"{""dispatch"": ""AUS-270422-S3""}",False,0,Open a economy trip ticket to Austin for 2027-04-22.,3,1,2,16,all_low
"{'city': True, 'date': True, 'priority': True}",489.50588097795844,0,chained,"{""city"": ""Austin"", ""date"": ""2027-04-22"", ""priority"": ""economy""}",True,3,Open a economy trip ticket to Austin for 2027-04-22.,3,3,0,16,low_stage_0
"{'airport': True, 'sla': True, 'date': True}",1594.4826980121434,0,chained,"{""airport"": ""AUS"", ""date"": ""2027-04-22"", ""sla"": ""S3""}",True,3,Open a economy trip ticket to Austin for 2027-04-22.,3,3,1,128,low_stage_0
{'dispatch': True},1500.0060299644247,0,chained,"{""dispatch"": ""AUS-20270422-S3""}",True,1,Open a economy trip ticket to Austin for 2027-04-22.,3,1,2,128,low_stage_0
"{'city': True, 'date': True, 'priority': True}",1467.3720009159297,0,chained,"{""city"": ""Austin"", ""date"": ""2027-04-22"", ""priority"": ""economy""}",True,3,Open a economy trip ticket to Austin for 2027-04-22.,3,3,0,128,low_stage_1
"{'airport': True, 'sla': True, 'date': True}",572.5960129639134,0,chained,"{""airport"": ""AUS"", ""date"": ""2027-04-22"", ""sla"": ""S3""}",True,3,Open a economy trip ticket to Austin for 2027-04-22.,3,3,1,16,low_stage_1
{'dispatch': True},1502.1823609713465,0,chained,"{""dispatch"": ""AUS-20270422-S3""}",True,1,Open a economy trip ticket to Austin for 2027-04-22.,3,1,2,128,low_stage_1
"{'city': True, 'date': True, 'priority': True}",1467.4205830087885,0,chained,"{""city"": ""Austin"", ""date"": ""2027-04-22"", ""priority"": ""economy""}",True,3,Open a economy trip ticket to Austin for 2027-04-22.,3,3,0,128,low_stage_2
"{'airport': True, 'sla': True, 'date': True}",1596.7845160048455,0,chained,"{""airport"": ""AUS"", ""date"": ""2027-04-22"", ""sla"": ""S3""}",True,3,Open a economy trip ticket to Austin for 2027-04-22.,3,3,1,128,low_stage_2
{'dispatch': False},520.0076639885083,0,chained,"{""dispatch"": ""AUS-270422-S3""}",False,0,Open a economy trip ticket to Austin for 2027-04-22.,3,1,2,16,low_stage_2
"{'city': True, 'date': True, 'priority': True}",1468.1960780872032,1,chained,"{""city"": ""London"", ""date"": ""2026-09-05"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for London on 2026-09-05.,4,3,0,128,all_high
"{'airport': True, 'sla': True, 'date': True}",1597.5824730703607,1,chained,"{""airport"": ""LHR"", ""date"": ""2026-09-05"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for London on 2026-09-05.,4,3,1,128,all_high
{'dispatch': True},1505.5562439374626,1,chained,"{""dispatch"": ""LHR-20260905-S3""}",True,1,Create a economy travel dispatch for London on 2026-09-05.,4,1,2,128,all_high
"{'city': True, 'date': True, 'priority': True}",492.06877301912755,1,chained,"{""city"": ""London"", ""date"": ""2026-09-05"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for London on 2026-09-05.,4,3,0,16,all_low
"{'airport': True, 'sla': True, 'date': True}",572.1538880607113,1,chained,"{""airport"": ""LHR"", ""date"": ""2026-09-05"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for London on 2026-09-05.,4,3,1,16,all_low
{'dispatch': True},518.6853850027546,1,chained,"{""dispatch"": ""LHR-20260905-S3""}",True,1,Create a economy travel dispatch for London on 2026-09-05.,4,1,2,16,all_low
"{'city': True, 'date': True, 'priority': True}",491.2100009387359,1,chained,"{""city"": ""London"", ""date"": ""2026-09-05"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for London on 2026-09-05.,4,3,0,16,low_stage_0
"{'airport': True, 'sla': True, 'date': True}",1599.2461750283837,1,chained,"{""airport"": ""LHR"", ""date"": ""2026-09-05"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for London on 2026-09-05.,4,3,1,128,low_stage_0
{'dispatch': True},1503.5486809210852,1,chained,"{""dispatch"": ""LHR-20260905-S3""}",True,1,Create a economy travel dispatch for London on 2026-09-05.,4,1,2,128,low_stage_0
"{'city': True, 'date': True, 'priority': True}",1469.5701219607145,1,chained,"{""city"": ""London"", ""date"": ""2026-09-05"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for London on 2026-09-05.,4,3,0,128,low_stage_1
"{'airport': True, 'sla': True, 'date': True}",573.1373149901628,1,chained,"{""airport"": ""LHR"", ""date"": ""2026-09-05"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for London on 2026-09-05.,4,3,1,16,low_stage_1
{'dispatch': True},1503.9898139657453,1,chained,"{""dispatch"": ""LHR-20260905-S3""}",True,1,Create a economy travel dispatch for London on 2026-09-05.,4,1,2,128,low_stage_1
"{'city': True, 'date': True, 'priority': True}",1469.2344289505854,1,chained,"{""city"": ""London"", ""date"": ""2026-09-05"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for London on 2026-09-05.,4,3,0,128,low_stage_2
"{'airport': True, 'sla': True, 'date': True}",1599.1159589029849,1,chained,"{""airport"": ""LHR"", ""date"": ""2026-09-05"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for London on 2026-09-05.,4,3,1,128,low_stage_2
{'dispatch': True},519.909868016839,1,chained,"{""dispatch"": ""LHR-20260905-S3""}",True,1,Create a economy travel dispatch for London on 2026-09-05.,4,1,2,16,low_stage_2
"{'city': True, 'date': True, 'priority': True}",1470.9734629141167,2,chained,"{""city"": ""Amsterdam"", ""date"": ""2027-02-12"", ""priority"": ""economy""}",True,3,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,3,0,128,all_high
"{'airport': True, 'sla': True, 'date': True}",1598.7861059838906,2,chained,"{""airport"": ""AMS"", ""date"": ""2027-02-12"", ""sla"": ""S3""}",True,3,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,3,1,128,all_high
{'dispatch': True},1505.0062050577253,2,chained,"{""dispatch"": ""AMS-20270212-S3""}",True,1,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,1,2,128,all_high
"{'city': True, 'date': True, 'priority': True}",492.78235097881407,2,chained,"{""city"": ""Amsterdam"", ""date"": ""2027-02-12"", ""priority"": ""economy""}",True,3,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,3,0,16,all_low
"{'airport': True, 'sla': True, 'date': True}",572.7161789545789,2,chained,"{""airport"": ""AMS"", ""date"": ""2027-02-12"", ""sla"": ""S3""}",True,3,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,3,1,16,all_low
{'dispatch': True},519.6558389579877,2,chained,"{""dispatch"": ""AMS-20270212-S3""}",True,1,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,1,2,16,all_low
"{'city': True, 'date': True, 'priority': True}",492.5262660253793,2,chained,"{""city"": ""Amsterdam"", ""date"": ""2027-02-12"", ""priority"": ""economy""}",True,3,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,3,0,16,low_stage_0
"{'airport': True, 'sla': True, 'date': True}",1600.745346979238,2,chained,"{""airport"": ""AMS"", ""date"": ""2027-02-12"", ""sla"": ""S3""}",True,3,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,3,1,128,low_stage_0
{'dispatch': True},1504.555944004096,2,chained,"{""dispatch"": ""AMS-20270212-S3""}",True,1,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,1,2,128,low_stage_0
"{'city': True, 'date': True, 'priority': True}",1479.8323559807613,2,chained,"{""city"": ""Amsterdam"", ""date"": ""2027-02-12"", ""priority"": ""economy""}",True,3,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,3,0,128,low_stage_1
"{'airport': True, 'sla': True, 'date': True}",574.1381860570982,2,chained,"{""airport"": ""AMS"", ""date"": ""2027-02-12"", ""sla"": ""S3""}",True,3,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,3,1,16,low_stage_1
{'dispatch': True},1504.9487759824842,2,chained,"{""dispatch"": ""AMS-20270212-S3""}",True,1,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,1,2,128,low_stage_1
"{'city': True, 'date': True, 'priority': True}",1472.9457979556173,2,chained,"{""city"": ""Amsterdam"", ""date"": ""2027-02-12"", ""priority"": ""economy""}",True,3,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,3,0,128,low_stage_2
"{'airport': True, 'sla': True, 'date': True}",1603.1938620144501,2,chained,"{""airport"": ""AMS"", ""date"": ""2027-02-12"", ""sla"": ""S3""}",True,3,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,3,1,128,low_stage_2
{'dispatch': True},521.6910740127787,2,chained,"{""dispatch"": ""AMS-20270212-S3""}",True,1,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,1,2,16,low_stage_2
"{'city': True, 'date': True, 'priority': True}",1469.608154031448,0,chained,"{""city"": ""Madrid"", ""date"": ""2026-07-19"", ""priority"": ""urgent""}",True,3,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,3,0,128,all_high
"{'airport': True, 'sla': True, 'date': True}",1601.7717459471896,0,chained,"{""airport"": ""MAD"", ""date"": ""2026-07-19"", ""sla"": ""S1""}",True,3,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,3,1,128,all_high
{'dispatch': True},1505.0940898945555,0,chained,"{""dispatch"": ""MAD-20260719-S1""}",True,1,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,1,2,128,all_high
"{'city': True, 'date': True, 'priority': True}",492.43024503812194,0,chained,"{""city"": ""Madrid"", ""date"": ""2026-07-19"", ""priority"": ""urgent""}",True,3,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,3,0,16,all_low
"{'airport': True, 'sla': True, 'date': True}",573.0686660390347,0,chained,"{""airport"": ""MAD"", ""date"": ""2026-07-19"", ""sla"": ""S1""}",True,3,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,3,1,16,all_low
{'dispatch': True},519.6256919298321,0,chained,"{""dispatch"": ""MAD-20260719-S1""}",True,1,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,1,2,16,all_low
"{'city': True, 'date': True, 'priority': True}",491.66172300465405,0,chained,"{""city"": ""Madrid"", ""date"": ""2026-07-19"", ""priority"": ""urgent""}",True,3,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,3,0,16,low_stage_0
"{'airport': True, 'sla': True, 'date': True}",1600.828593946062,0,chained,"{""airport"": ""MAD"", ""date"": ""2026-07-19"", ""sla"": ""S1""}",True,3,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,3,1,128,low_stage_0
{'dispatch': True},1505.8826500317082,0,chained,"{""dispatch"": ""MAD-20260719-S1""}",True,1,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,1,2,128,low_stage_0
"{'city': True, 'date': True, 'priority': True}",1470.9128090180457,0,chained,"{""city"": ""Madrid"", ""date"": ""2026-07-19"", ""priority"": ""urgent""}",True,3,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,3,0,128,low_stage_1
"{'airport': True, 'sla': True, 'date': True}",575.1664970302954,0,chained,"{""airport"": ""MAD"", ""date"": ""2026-07-19"", ""sla"": ""S1""}",True,3,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,3,1,16,low_stage_1
{'dispatch': True},1505.0159129314125,0,chained,"{""dispatch"": ""MAD-20260719-S1""}",True,1,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,1,2,128,low_stage_1
"{'city': True, 'date': True, 'priority': True}",1470.4783980268985,0,chained,"{""city"": ""Madrid"", ""date"": ""2026-07-19"", ""priority"": ""urgent""}",True,3,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,3,0,128,low_stage_2
"{'airport': True, 'sla': True, 'date': True}",1600.6983580300584,0,chained,"{""airport"": ""MAD"", ""date"": ""2026-07-19"", ""sla"": ""S1""}",True,3,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,3,1,128,low_stage_2
{'dispatch': True},521.678899996914,0,chained,"{""dispatch"": ""MAD-20260719-S1""}",True,1,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,1,2,16,low_stage_2
"{'city': True, 'date': True, 'priority': True}",1470.0802960433066,1,chained,"{""city"": ""Rome"", ""date"": ""2027-12-02"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Rome for 2027-12-02.,7,3,0,128,all_high
"{'airport': True, 'sla': True, 'date': True}",1600.9586099535227,1,chained,"{""airport"": ""FCO"", ""date"": ""2027-12-02"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Rome for 2027-12-02.,7,3,1,128,all_high
{'dispatch': False},1506.1211800202727,1,chained,"{""dispatch"": ""FCO-271202-S2""}",False,0,Open a standard trip ticket to Rome for 2027-12-02.,7,1,2,128,all_high
"{'city': True, 'date': True, 'priority': True}",493.07242792565376,1,chained,"{""city"": ""Rome"", ""date"": ""2027-12-02"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Rome for 2027-12-02.,7,3,0,16,all_low
"{'airport': True, 'sla': True, 'date': True}",573.3768380014226,1,chained,"{""airport"": ""FCO"", ""date"": ""2027-12-02"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Rome for 2027-12-02.,7,3,1,16,all_low
{'dispatch': False},519.4955558981746,1,chained,"{""dispatch"": ""FCO-271212-S2""}",False,0,Open a standard trip ticket to Rome for 2027-12-02.,7,1,2,16,all_low
"{'city': True, 'date': True, 'priority': True}",491.9870379380882,1,chained,"{""city"": ""Rome"", ""date"": ""2027-12-02"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Rome for 2027-12-02.,7,3,0,16,low_stage_0
"{'airport': True, 'sla': True, 'date': True}",1600.5395679967478,1,chained,"{""airport"": ""FCO"", ""date"": ""2027-12-02"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Rome for 2027-12-02.,7,3,1,128,low_stage_0
{'dispatch': False},1510.2897649630904,1,chained,"{""dispatch"": ""FCO-271202-S2""}",False,0,Open a standard trip ticket to Rome for 2027-12-02.,7,1,2,128,low_stage_0
"{'city': True, 'date': True, 'priority': True}",1473.2855700422078,1,chained,"{""city"": ""Rome"", ""date"": ""2027-12-02"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Rome for 2027-12-02.,7,3,0,128,low_stage_1
"{'airport': True, 'sla': True, 'date': True}",575.0168550293893,1,chained,"{""airport"": ""FCO"", ""date"": ""2027-12-02"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Rome for 2027-12-02.,7,3,1,16,low_stage_1
{'dispatch': False},1505.8388070901856,1,chained,"{""dispatch"": ""FCO-271202-S2""}",False,0,Open a standard trip ticket to Rome for 2027-12-02.,7,1,2,128,low_stage_1
"{'city': True, 'date': True, 'priority': True}",1471.420137095265,1,chained,"{""city"": ""Rome"", ""date"": ""2027-12-02"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Rome for 2027-12-02.,7,3,0,128,low_stage_2
"{'airport': True, 'sla': True, 'date': True}",1600.9101390372962,1,chained,"{""airport"": ""FCO"", ""date"": ""2027-12-02"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Rome for 2027-12-02.,7,3,1,128,low_stage_2
{'dispatch': False},521.2353930110112,1,chained,"{""dispatch"": ""FCO-271212-S2""}",False,0,Open a standard trip ticket to Rome for 2027-12-02.,7,1,2,16,low_stage_2
"{'city': True, 'date': True, 'priority': True}",1470.7622749265283,2,chained,"{""city"": ""Berlin"", ""date"": ""2026-05-09"", ""priority"": ""standard""}",True,3,Create a standard travel dispatch for Berlin on 2026-05-09.,8,3,0,128,all_high
"{'airport': True, 'sla': True, 'date': True}",1602.7472279965878,2,chained,"{""airport"": ""BER"", ""date"": ""2026-05-09"", ""sla"": ""S2""}",True,3,Create a standard travel dispatch for Berlin on 2026-05-09.,8,3,1,128,all_high
{'dispatch': True},1505.5938439909369,2,chained,"{""dispatch"": ""BER-20260509-S2""}",True,1,Create a standard travel dispatch for Berlin on 2026-05-09.,8,1,2,128,all_high
"{'city': True, 'date': True, 'priority': True}",493.1574190268293,2,chained,"{""city"": ""Berlin"", ""date"": ""2026-05-09"", ""priority"": ""standard""}",True,3,Create a standard travel dispatch for Berlin on 2026-05-09.,8,3,0,16,all_low
"{'airport': True, 'sla': True, 'date': True}",573.8326989812776,2,chained,"{""airport"": ""BER"", ""date"": ""2026-05-09"", ""sla"": ""S2""}",True,3,Create a standard travel dispatch for Berlin on 2026-05-09.,8,3,1,16,all_low
