field_correct,generation_ms,hard_stage,mode,observed,ready,ready_count,request,request_index,required_count,stage_index,steps
"{'city': True, 'date': True, 'priority': True}",1459.1986529994756,2,isolated,"{""city"": ""Paris"", ""date"": ""2026-11-15"", ""priority"": ""economy""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,3,0,128
"{'city': True, 'date': True, 'priority': True}",488.11309097800404,2,isolated,"{""city"": ""Paris"", ""date"": ""2026-11-15"", ""priority"": ""economy""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1586.9214159902185,2,isolated,"{""airport"": ""CDG"", ""date"": ""2026-11-15"", ""sla"": ""S3""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,3,1,128
"{'airport': True, 'sla': True, 'date': True}",567.5238819094375,2,isolated,"{""airport"": ""CDG"", ""date"": ""2026-11-15"", ""sla"": ""S3""}",True,3,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,3,1,16
{'dispatch': True},1495.2658170368522,2,isolated,"{""dispatch"": ""CDG-20261115-S3""}",True,1,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,1,2,128
{'dispatch': True},515.0101239560172,2,isolated,"{""dispatch"": ""CDG-20261115-S3""}",True,1,Prepare the 2026-11-15 Paris itinerary with economy handling.,2,1,2,16
"{'city': True, 'date': True, 'priority': True}",1464.177476009354,0,isolated,"{""city"": ""Austin"", ""date"": ""2027-04-22"", ""priority"": ""economy""}",True,3,Open a economy trip ticket to Austin for 2027-04-22.,3,3,0,128
"{'city': True, 'date': True, 'priority': True}",490.16323301475495,0,isolated,"{""city"": ""Austin"", ""date"": ""2027-04-22"", ""priority"": ""economy""}",True,3,Open a economy trip ticket to Austin for 2027-04-22.,3,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1593.3369640260935,0,isolated,"{""airport"": ""AUS"", ""date"": ""2027-04-22"", ""sla"": ""S3""}",True,3,Open a economy trip ticket to Austin for 2027-04-22.,3,3,1,128
"{'airport': True, 'sla': True, 'date': True}",570.9673869423568,0,isolated,"{""airport"": ""AUS"", ""date"": ""2027-04-22"", ""sla"": ""S3""}",True,3,Open a economy trip ticket to Austin for 2027-04-22.,3,3,1,16
{'dispatch': True},1498.2678070664406,0,isolated,"{""dispatch"": ""AUS-20270422-S3""}",True,1,Open a economy trip ticket to Austin for 2027-04-22.,3,1,2,128
{'dispatch': False},518.3175220154226,0,isolated,"{""dispatch"": ""AUS-270422-S3""}",False,0,Open a economy trip ticket to Austin for 2027-04-22.,3,1,2,16
"{'city': True, 'date': True, 'priority': True}",1467.3714999807999,1,isolated,"{""city"": ""London"", ""date"": ""2026-09-05"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for London on 2026-09-05.,4,3,0,128
"{'city': True, 'date': True, 'priority': True}",491.86936602927744,1,isolated,"{""city"": ""London"", ""date"": ""2026-09-05"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for London on 2026-09-05.,4,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1596.8042929889634,1,isolated,"{""airport"": ""LHR"", ""date"": ""2026-09-05"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for London on 2026-09-05.,4,3,1,128
"{'airport': True, 'sla': True, 'date': True}",573.1028500013053,1,isolated,"{""airport"": ""LHR"", ""date"": ""2026-09-05"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for London on 2026-09-05.,4,3,1,16
{'dispatch': True},1502.3639840073884,1,isolated,"{""dispatch"": ""LHR-20260905-S3""}",True,1,Create a economy travel dispatch for London on 2026-09-05.,4,1,2,128
{'dispatch': True},519.4445499219,1,isolated,"{""dispatch"": ""LHR-20260905-S3""}",True,1,Create a economy travel dispatch for London on 2026-09-05.,4,1,2,16
"{'city': True, 'date': True, 'priority': True}",1470.9447890054435,2,isolated,"{""city"": ""Amsterdam"", ""date"": ""2027-02-12"", ""priority"": ""economy""}",True,3,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,3,0,128
"{'city': True, 'date': True, 'priority': True}",492.49886500183493,2,isolated,"{""city"": ""Amsterdam"", ""date"": ""2027-02-12"", ""priority"": ""economy""}",True,3,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1601.9115790259093,2,isolated,"{""airport"": ""AMS"", ""date"": ""2027-02-12"", ""sla"": ""S3""}",True,3,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,3,1,128
"{'airport': True, 'sla': True, 'date': True}",573.6080249771476,2,isolated,"{""airport"": ""AMS"", ""date"": ""2027-02-12"", ""sla"": ""S3""}",True,3,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,3,1,16
{'dispatch': True},1504.247942008078,2,isolated,"{""dispatch"": ""AMS-20270212-S3""}",True,1,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,1,2,128
{'dispatch': True},519.7857249295339,2,isolated,"{""dispatch"": ""AMS-20270212-S3""}",True,1,Set up economy routing for the Amsterdam visit dated 2027-02-12.,5,1,2,16
"{'city': True, 'date': True, 'priority': True}",1468.948559020646,0,isolated,"{""city"": ""Madrid"", ""date"": ""2026-07-19"", ""priority"": ""urgent""}",True,3,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,3,0,128
"{'city': True, 'date': True, 'priority': True}",492.1117939520627,0,isolated,"{""city"": ""Madrid"", ""date"": ""2026-07-19"", ""priority"": ""urgent""}",True,3,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1599.1753719281405,0,isolated,"{""airport"": ""MAD"", ""date"": ""2026-07-19"", ""sla"": ""S1""}",True,3,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,3,1,128
"{'airport': True, 'sla': True, 'date': True}",575.0740830553696,0,isolated,"{""airport"": ""MAD"", ""date"": ""2026-07-19"", ""sla"": ""S1""}",True,3,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,3,1,16
{'dispatch': True},1504.3225029949099,0,isolated,"{""dispatch"": ""MAD-20260719-S1""}",True,1,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,1,2,128
{'dispatch': True},520.5644550733268,0,isolated,"{""dispatch"": ""MAD-20260719-S1""}",True,1,Prepare the 2026-07-19 Madrid itinerary with urgent handling.,6,1,2,16
"{'city': True, 'date': True, 'priority': True}",1478.658810025081,1,isolated,"{""city"": ""Rome"", ""date"": ""2027-12-02"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Rome for 2027-12-02.,7,3,0,128
"{'city': True, 'date': True, 'priority': True}",493.17954992875457,1,isolated,"{""city"": ""Rome"", ""date"": ""2027-12-02"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Rome for 2027-12-02.,7,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1600.7175240665674,1,isolated,"{""airport"": ""FCO"", ""date"": ""2027-12-02"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Rome for 2027-12-02.,7,3,1,128
"{'airport': True, 'sla': True, 'date': True}",575.2257700078189,1,isolated,"{""airport"": ""FCO"", ""date"": ""2027-12-02"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Rome for 2027-12-02.,7,3,1,16
{'dispatch': False},1505.559420096688,1,isolated,"{""dispatch"": ""FCO-271202-S2""}",False,0,Open a standard trip ticket to Rome for 2027-12-02.,7,1,2,128
{'dispatch': False},521.5631519677117,1,isolated,"{""dispatch"": ""FCO-271212-S2""}",False,0,Open a standard trip ticket to Rome for 2027-12-02.,7,1,2,16
"{'city': True, 'date': True, 'priority': True}",1471.3025949895382,2,isolated,"{""city"": ""Berlin"", ""date"": ""2026-05-09"", ""priority"": ""standard""}",True,3,Create a standard travel dispatch for Berlin on 2026-05-09.,8,3,0,128
"{'city': True, 'date': True, 'priority': True}",492.6151350373402,2,isolated,"{""city"": ""Berlin"", ""date"": ""2026-05-09"", ""priority"": ""standard""}",True,3,Create a standard travel dispatch for Berlin on 2026-05-09.,8,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1601.3775609899312,2,isolated,"{""airport"": ""BER"", ""date"": ""2026-05-09"", ""sla"": ""S2""}",True,3,Create a standard travel dispatch for Berlin on 2026-05-09.,8,3,1,128
"{'airport': True, 'sla': True, 'date': True}",575.4818839486688,2,isolated,"{""airport"": ""BER"", ""date"": ""2026-05-09"", ""sla"": ""S2""}",True,3,Create a standard travel dispatch for Berlin on 2026-05-09.,8,3,1,16
{'dispatch': True},1505.7100130943581,2,isolated,"{""dispatch"": ""BER-20260509-S2""}",True,1,Create a standard travel dispatch for Berlin on 2026-05-09.,8,1,2,128
{'dispatch': True},521.4176370063797,2,isolated,"{""dispatch"": ""BER-20260509-S2""}",True,1,Create a standard travel dispatch for Berlin on 2026-05-09.,8,1,2,16
"{'city': True, 'date': True, 'priority': True}",1472.7968969382346,0,isolated,"{""city"": ""Dubai"", ""date"": ""2027-10-16"", ""priority"": ""urgent""}",True,3,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,3,0,128
"{'city': True, 'date': True, 'priority': True}",493.3186729904264,0,isolated,"{""city"": ""Dubai"", ""date"": ""2027-10-16"", ""priority"": ""urgent""}",True,3,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1601.1221789522097,0,isolated,"{""airport"": ""DXB"", ""date"": ""2027-10-16"", ""sla"": ""S1""}",True,3,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,3,1,128
"{'airport': True, 'sla': True, 'date': True}",576.013949001208,0,isolated,"{""airport"": ""DXB"", ""date"": ""2027-10-16"", ""sla"": ""S1""}",True,3,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,3,1,16
{'dispatch': False},1506.276152911596,0,isolated,"{""dispatch"": ""DXB-271016-S1""}",False,0,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,1,2,128
{'dispatch': False},521.6687410138547,0,isolated,"{""dispatch"": ""DXB-271016-S1""}",False,0,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,1,2,16
"{'city': True, 'date': True, 'priority': True}",1470.654200995341,1,isolated,"{""city"": ""Boston"", ""date"": ""2026-03-23"", ""priority"": ""urgent""}",True,3,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,3,0,128
"{'city': True, 'date': True, 'priority': True}",492.6608499372378,1,isolated,"{""city"": ""Boston"", ""date"": ""2026-03-23"", ""priority"": ""urgent""}",True,3,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1601.4244889374822,1,isolated,"{""airport"": ""BOS"", ""date"": ""2026-03-23"", ""sla"": ""S1""}",True,3,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,3,1,128
"{'airport': True, 'sla': True, 'date': True}",576.1550150346011,1,isolated,"{""airport"": ""BOS"", ""date"": ""2026-03-23"", ""sla"": ""S1""}",True,3,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,3,1,16
{'dispatch': True},1506.8016849691048,1,isolated,"{""dispatch"": ""BOS-20260323-S1""}",True,1,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,1,2,128
{'dispatch': True},521.4664490194991,1,isolated,"{""dispatch"": ""BOS-20260323-S1""}",True,1,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,1,2,16
"{'city': True, 'date': True, 'priority': True}",1471.5759820537642,2,isolated,"{""city"": ""Toronto"", ""date"": ""2027-08-06"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Toronto for 2027-08-06.,11,3,0,128
"{'city': True, 'date': True, 'priority': True}",492.8220449946821,2,isolated,"{""city"": ""Toronto"", ""date"": ""2027-08-06"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Toronto for 2027-08-06.,11,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1602.158677065745,2,isolated,"{""airport"": ""YYZ"", ""date"": ""2027-08-06"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Toronto for 2027-08-06.,11,3,1,128
"{'airport': True, 'sla': True, 'date': True}",574.0617209812626,2,isolated,"{""airport"": ""YYZ"", ""date"": ""2027-08-06"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Toronto for 2027-08-06.,11,3,1,16
{'dispatch': True},1506.1078649014235,2,isolated,"{""dispatch"": ""YYZ-20270806-S2""}",True,1,Open a standard trip ticket to Toronto for 2027-08-06.,11,1,2,128
{'dispatch': True},521.5359110152349,2,isolated,"{""dispatch"": ""YYZ-20270806-S2""}",True,1,Open a standard trip ticket to Toronto for 2027-08-06.,11,1,2,16
"{'city': True, 'date': True, 'priority': True}",1472.0642541069537,0,isolated,"{""city"": ""Seoul"", ""date"": ""2026-01-13"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-13.,12,3,0,128
"{'city': True, 'date': True, 'priority': True}",493.0680589750409,0,isolated,"{""city"": ""Seoul"", ""date"": ""2026-01-13"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-13.,12,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1602.0468150964007,0,isolated,"{""airport"": ""ICN"", ""date"": ""2026-01-13"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-13.,12,3,1,128
"{'airport': True, 'sla': True, 'date': True}",575.4094360163435,0,isolated,"{""airport"": ""ICN"", ""date"": ""2026-01-13"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-13.,12,3,1,16
{'dispatch': True},1510.7723360415548,0,isolated,"{""dispatch"": ""ICN-20260113-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-13.,12,1,2,128
{'dispatch': True},520.9393129916862,0,isolated,"{""dispatch"": ""ICN-20260113-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-13.,12,1,2,16
"{'city': True, 'date': True, 'priority': True}",1471.9950220314786,1,isolated,"{""city"": ""Tokyo"", ""date"": ""2027-06-20"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,3,0,128
"{'city': True, 'date': True, 'priority': True}",492.9933990351856,1,isolated,"{""city"": ""Tokyo"", ""date"": ""2027-06-20"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1601.5151309547946,1,isolated,"{""airport"": ""NRT"", ""date"": ""2027-06-20"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,3,1,128
"{'airport': True, 'sla': True, 'date': True}",575.8455200120807,1,isolated,"{""airport"": ""NRT"", ""date"": ""2027-06-20"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,3,1,16
{'dispatch': True},1506.7662890069187,1,isolated,"{""dispatch"": ""NRT-20270620-S2""}",True,1,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,1,2,128
{'dispatch': False},521.5286059537902,1,isolated,"{""dispatch"": ""NRT-270620-S2""}",False,0,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,1,2,16
"{'city': True, 'date': True, 'priority': True}",1470.43399407994,2,isolated,"{""city"": ""Paris"", ""date"": ""2026-11-03"", ""priority"": ""standard""}",True,3,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,3,0,128
"{'city': True, 'date': True, 'priority': True}",492.72051407024264,2,isolated,"{""city"": ""Paris"", ""date"": ""2026-11-03"", ""priority"": ""standard""}",True,3,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1600.8521689800546,2,isolated,"{""airport"": ""CDG"", ""date"": ""2026-11-03"", ""sla"": ""S2""}",True,3,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,3,1,128
"{'airport': True, 'sla': True, 'date': True}",575.644870987162,2,isolated,"{""airport"": ""CDG"", ""date"": ""2026-11-03"", ""sla"": ""S2""}",True,3,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,3,1,16
{'dispatch': True},1507.7785809990019,2,isolated,"{""dispatch"": ""CDG-20261103-S2""}",True,1,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,1,2,128
{'dispatch': True},521.8255670042709,2,isolated,"{""dispatch"": ""CDG-20261103-S2""}",True,1,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,1,2,16
"{'city': True, 'date': True, 'priority': True}",1471.138866036199,0,isolated,"{""city"": ""Austin"", ""date"": ""2027-04-10"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Austin for 2027-04-10.,15,3,0,128
"{'city': True, 'date': True, 'priority': True}",492.8550870390609,0,isolated,"{""city"": ""Austin"", ""date"": ""2027-04-10"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Austin for 2027-04-10.,15,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1600.417098030448,0,isolated,"{""airport"": ""AUS"", ""date"": ""2027-04-10"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Austin for 2027-04-10.,15,3,1,128
"{'airport': True, 'sla': True, 'date': True}",575.6797870853916,0,isolated,"{""airport"": ""AUS"", ""date"": ""2027-04-10"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Austin for 2027-04-10.,15,3,1,16
{'dispatch': True},1506.116040982306,0,isolated,"{""dispatch"": ""AUS-20270410-S2""}",True,1,Open a standard trip ticket to Austin for 2027-04-10.,15,1,2,128
{'dispatch': True},521.3658090215176,0,isolated,"{""dispatch"": ""AUS-20270410-S2""}",True,1,Open a standard trip ticket to Austin for 2027-04-10.,15,1,2,16
"{'city': True, 'date': True, 'priority': True}",1470.6091149710119,1,isolated,"{""city"": ""London"", ""date"": ""2026-09-17"", ""priority"": ""standard""}",True,3,Create a standard travel dispatch for London on 2026-09-17.,16,3,0,128
"{'city': True, 'date': True, 'priority': True}",492.8354399744421,1,isolated,"{""city"": ""London"", ""date"": ""2026-09-17"", ""priority"": ""standard""}",True,3,Create a standard travel dispatch for London on 2026-09-17.,16,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1601.6728190006688,1,isolated,"{""airport"": ""LHR"", ""date"": ""2026-09-17"", ""sla"": ""S2""}",True,3,Create a standard travel dispatch for London on 2026-09-17.,16,3,1,128
"{'airport': True, 'sla': True, 'date': True}",575.8444090606645,1,isolated,"{""airport"": ""LHR"", ""date"": ""2026-09-17"", ""sla"": ""S2""}",True,3,Create a standard travel dispatch for London on 2026-09-17.,16,3,1,16
{'dispatch': True},1505.985263036564,1,isolated,"{""dispatch"": ""LHR-20260917-S2""}",True,1,Create a standard travel dispatch for London on 2026-09-17.,16,1,2,128
{'dispatch': True},521.8388329958543,1,isolated,"{""dispatch"": ""LHR-20260917-S2""}",True,1,Create a standard travel dispatch for London on 2026-09-17.,16,1,2,16
"{'city': True, 'date': True, 'priority': True}",1472.0920260297135,2,isolated,"{""city"": ""Amsterdam"", ""date"": ""2027-02-24"", ""priority"": ""economy""}",True,3,Set up economy routing for the Amsterdam visit dated 2027-02-24.,17,3,0,128
"{'city': True, 'date': True, 'priority': True}",493.17290796898305,2,isolated,"{""city"": ""Amsterdam"", ""date"": ""2027-02-24"", ""priority"": ""economy""}",True,3,Set up economy routing for the Amsterdam visit dated 2027-02-24.,17,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1599.9899610178545,2,isolated,"{""airport"": ""AMS"", ""date"": ""2027-02-24"", ""sla"": ""S3""}",True,3,Set up economy routing for the Amsterdam visit dated 2027-02-24.,17,3,1,128
"{'airport': True, 'sla': True, 'date': True}",575.1444660127163,2,isolated,"{""airport"": ""AMS"", ""date"": ""2027-02-24"", ""sla"": ""S3""}",True,3,Set up economy routing for the Amsterdam visit dated 2027-02-24.,17,3,1,16
{'dispatch': True},1505.6239110417664,2,isolated,"{""dispatch"": ""AMS-20270224-S3""}",True,1,Set up economy routing for the Amsterdam visit dated 2027-02-24.,17,1,2,128
{'dispatch': True},520.402067922987,2,isolated,"{""dispatch"": ""AMS-20270224-S3""}",True,1,Set up economy routing for the Amsterdam visit dated 2027-02-24.,17,1,2,16
"{'city': True, 'date': True, 'priority': True}",1470.2153420075774,0,isolated,"{""city"": ""Madrid"", ""date"": ""2026-07-07"", ""priority"": ""urgent""}",True,3,Prepare the 2026-07-07 Madrid itinerary with urgent handling.,18,3,0,128
"{'city': True, 'date': True, 'priority': True}",494.95141697116196,0,isolated,"{""city"": ""Madrid"", ""date"": ""2026-07-07"", ""priority"": ""urgent""}",True,3,Prepare the 2026-07-07 Madrid itinerary with urgent handling.,18,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1600.1917920075357,0,isolated,"{""airport"": ""MAD"", ""date"": ""2026-07-07"", ""sla"": ""S1""}",True,3,Prepare the 2026-07-07 Madrid itinerary with urgent handling.,18,3,1,128
"{'airport': True, 'sla': True, 'date': True}",575.6160670425743,0,isolated,"{""airport"": ""MAD"", ""date"": ""2026-07-07"", ""sla"": ""S1""}",True,3,Prepare the 2026-07-07 Madrid itinerary with urgent handling.,18,3,1,16
{'dispatch': True},1505.7160649448633,0,isolated,"{""dispatch"": ""MAD-20260707-S1""}",True,1,Prepare the 2026-07-07 Madrid itinerary with urgent handling.,18,1,2,128
{'dispatch': True},521.0351039422676,0,isolated,"{""dispatch"": ""MAD-20260707-S1""}",True,1,Prepare the 2026-07-07 Madrid itinerary with urgent handling.,18,1,2,16
"{'city': True, 'date': True, 'priority': True}",1471.3814139831811,1,isolated,"{""city"": ""Rome"", ""date"": ""2027-12-14"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Rome for 2027-12-14.,19,3,0,128
"{'city': True, 'date': True, 'priority': True}",492.7746560424566,1,isolated,"{""city"": ""Rome"", ""date"": ""2027-12-14"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Rome for 2027-12-14.,19,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1600.7581410231069,1,isolated,"{""airport"": ""FCO"", ""date"": ""2027-12-14"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Rome for 2027-12-14.,19,3,1,128
"{'airport': True, 'sla': True, 'date': True}",575.9042510762811,1,isolated,"{""airport"": ""FCO"", ""date"": ""2027-12-14"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Rome for 2027-12-14.,19,3,1,16
{'dispatch': True},1506.0905830468982,1,isolated,"{""dispatch"": ""FCO-20271214-S2""}",True,1,Open a standard trip ticket to Rome for 2027-12-14.,19,1,2,128
{'dispatch': True},521.3543570134789,1,isolated,"{""dispatch"": ""FCO-20271214-S2""}",True,1,Open a standard trip ticket to Rome for 2027-12-14.,19,1,2,16
"{'city': True, 'date': True, 'priority': True}",1471.1482030106708,2,isolated,"{""city"": ""Berlin"", ""date"": ""2026-05-21"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Berlin on 2026-05-21.,20,3,0,128
"{'city': True, 'date': True, 'priority': True}",492.48203297611326,2,isolated,"{""city"": ""Berlin"", ""date"": ""2026-05-21"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Berlin on 2026-05-21.,20,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1601.5081179793924,2,isolated,"{""airport"": ""BER"", ""date"": ""2026-05-21"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Berlin on 2026-05-21.,20,3,1,128
"{'airport': True, 'sla': True, 'date': True}",574.4124340126291,2,isolated,"{""airport"": ""BER"", ""date"": ""2026-05-21"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Berlin on 2026-05-21.,20,3,1,16
{'dispatch': True},1504.9801549175754,2,isolated,"{""dispatch"": ""BER-20260521-S3""}",True,1,Create a economy travel dispatch for Berlin on 2026-05-21.,20,1,2,128
{'dispatch': True},521.4227460091934,2,isolated,"{""dispatch"": ""BER-20260521-S3""}",True,1,Create a economy travel dispatch for Berlin on 2026-05-21.,20,1,2,16
"{'city': True, 'date': True, 'priority': True}",1471.6979518998414,0,isolated,"{""city"": ""Dubai"", ""date"": ""2027-10-04"", ""priority"": ""economy""}",True,3,Set up economy routing for the Dubai visit dated 2027-10-04.,21,3,0,128
"{'city': True, 'date': True, 'priority': True}",493.62071393989027,0,isolated,"{""city"": ""Dubai"", ""date"": ""2027-10-04"", ""priority"": ""economy""}",True,3,Set up economy routing for the Dubai visit dated 2027-10-04.,21,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1600.1309769926593,0,isolated,"{""airport"": ""DXB"", ""date"": ""2027-10-04"", ""sla"": ""S3""}",True,3,Set up economy routing for the Dubai visit dated 2027-10-04.,21,3,1,128
"{'airport': True, 'sla': True, 'date': True}",575.116864987649,0,isolated,"{""airport"": ""DXB"", ""date"": ""2027-10-04"", ""sla"": ""S3""}",True,3,Set up economy routing for the Dubai visit dated 2027-10-04.,21,3,1,16
{'dispatch': True},1506.0960029950365,0,isolated,"{""dispatch"": ""DXB-20271004-S3""}",True,1,Set up economy routing for the Dubai visit dated 2027-10-04.,21,1,2,128
