action_ready,action_ready_fraction,action_ready_step,bind_fraction,bind_update_index,bound_token_count,elapsed_ms,estimated_action_ready_ms,policy,request_index,reserved_prefix_token_count,reserved_suffix_token_count,result_present,result_terms_present,result_token_count,success,target_tool
True,0.3,6,0.25,32,23,1704.4525080127642,511.5887639927678,bind,8,,,False,False,23,False,calendar_api
True,0.3,6,0.25,32,23,5686.267887998838,511.5887639927678,reserved_slot,8,48,6,True,True,23,True,calendar_api
True,0.3,6,0.35,44,23,1705.404806009028,511.5887639927678,bind,8,,,False,False,23,False,calendar_api
True,0.3,6,0.35,44,23,6701.4221719582565,511.5887639927678,reserved_slot,8,48,6,True,True,23,True,calendar_api
True,0.3,6,0.5,64,23,1705.016914056614,511.5887639927678,bind,8,,,False,False,23,False,calendar_api
True,0.3,6,0.5,64,23,8393.603203003295,511.5887639927678,reserved_slot,8,48,6,True,True,23,True,calendar_api
True,0.3,6,0.75,96,23,1705.310894001741,511.5887639927678,bind,8,,,False,False,23,False,calendar_api
True,0.3,6,0.75,96,23,11097.630881005898,511.5887639927678,reserved_slot,8,48,6,True,True,23,True,calendar_api
True,0.2777777777777778,5,,,23,1537.596414971631,427.1101152698975,no_bind,9,,,False,False,23,False,calendar_api
True,,,,,0,2776.8692820100114,,restart_with_result,9,,,True,True,23,True,calendar_api
True,0.2777777777777778,5,0.25,32,23,1537.886543024797,427.1101152698975,bind,9,,,False,False,23,False,calendar_api
True,0.2777777777777778,5,0.25,32,23,4588.486590015236,427.1101152698975,reserved_slot,9,49,6,True,True,23,True,calendar_api
True,0.2777777777777778,5,0.35,44,23,1537.5767889781855,427.1101152698975,bind,9,,,False,False,23,False,calendar_api
True,0.2777777777777778,5,0.35,44,23,5603.684614994563,427.1101152698975,reserved_slot,9,49,6,True,True,23,True,calendar_api
True,0.2777777777777778,5,0.5,64,23,1537.1834359830245,427.1101152698975,bind,9,,,False,False,23,False,calendar_api
True,0.2777777777777778,5,0.5,64,23,7294.028935022652,427.1101152698975,reserved_slot,9,49,6,True,True,23,True,calendar_api
True,0.2777777777777778,5,0.75,96,23,1537.561259989161,427.1101152698975,bind,9,,,False,False,23,False,calendar_api
True,0.2777777777777778,5,0.75,96,23,10001.32380699506,427.1101152698975,reserved_slot,9,49,6,True,True,23,True,calendar_api
